infinitive_english,mood_english,tense_english,verb_english,form_1s_english,form_2s_english,form_3s_english,form_1p_english,form_2p_english,form_3p_english,infinitive,mood,tense,form_1s,form_2s,form_3s,form_1p,form_2p,form_3p,gerund,gerund_english,pastparticiple,pastparticiple_english
"to abandon, leave behind, desert; to quit, give up",Indicative,Present,"I abandon, am abandoning",abandon,abandon,abandons,abandon,abandon,abandon,abandonar,Indicativo,Presente,abandono,abandonas,abandona,abandonamos,abandonáis,abandonan,abandonando,abandoning,abandonado,abandoned
"to abandon, leave behind, desert; to quit, give up",Indicative,Future,I will abandon,will abandon,will abandon,will abandon,will abandon,will abandon,will abandon,abandonar,Indicativo,Futuro,abandonaré,abandonarás,abandonará,abandonaremos,abandonaréis,abandonarán,abandonando,abandoning,abandonado,abandoned
"to abandon, leave behind, desert; to quit, give up",Indicative,Imperfect,"I was abandoning, used to abandon, abandoned",was abandoning,were abandoning,was abandoning,were abandoning,were abandoning,were abandoning,abandonar,Indicativo,Imperfecto,abandonaba,abandonabas,abandonaba,abandonábamos,abandonabais,abandonaban,abandonando,abandoning,abandonado,abandoned
"to abandon, leave behind, desert; to quit, give up",Indicative,Preterite,I abandoned,abandoned,abandoned,abandoned,abandoned,abandoned,abandoned,abandonar,Indicativo,Pretérito,abandoné,abandonaste,abandonó,abandonamos,abandonasteis,abandonaron,abandonando,abandoning,abandonado,abandoned
"to abandon, leave behind, desert; to quit, give up",Indicative,Conditional,I would abandon,would abandon,would abandon,would abandon,would abandon,would abandon,would abandon,abandonar,Indicativo,Condicional,abandonaría,abandonarías,abandonaría,abandonaríamos,abandonaríais,abandonarían,abandonando,abandoning,abandonado,abandoned
"to abandon, leave behind, desert; to quit, give up",Indicative,Present Perfect,I have abandoned,have abandoned,have abandoned,has abandoned,have abandoned,have abandoned,have abandoned,abandonar,Indicativo,Presente perfecto,he abandonado,has abandonado,ha abandonado,hemos abandonado,habéis abandonado,han abandonado,abandonando,abandoning,abandonado,abandoned
"to abandon, leave behind, desert; to quit, give up",Indicative,Future Perfect,I will have abandoned,will have abandoned,will have abandoned,will have abandoned,will have abandoned,will have abandoned,will have abandoned,abandonar,Indicativo,Futuro perfecto,habré abandonado,habrás abandonado,habrá abandonado,habremos abandonado,habréis abandonado,habrán abandonado,abandonando,abandoning,abandonado,abandoned
"to abandon, leave behind, desert; to quit, give up",Indicative,Past Perfect,I had abandoned,had abandoned,had abandoned,had abandoned,had abandoned,had abandoned,had abandoned,abandonar,Indicativo,Pluscuamperfecto,había abandonado,habías abandonado,había abandonado,habíamos abandonado,habíais abandonado,habían abandonado,abandonando,abandoning,abandonado,abandoned
"to abandon, leave behind, desert; to quit, give up",Indicative,Preterite (Archaic),I had abandoned,,,,,,,abandonar,Indicativo,Pretérito anterior,hube abandonado,hubiste abandonado,hubo abandonado,hubimos abandonado,hubisteis abandonado,hubieron abandonado,abandonando,abandoning,abandonado,abandoned
"to abandon, leave behind, desert; to quit, give up",Indicative,Conditional Perfect,I would have abandoned,would have abandoned,would have abandoned,would have abandoned,would have abandoned,would have abandoned,would have abandoned,abandonar,Indicativo,Condicional perfecto,habría abandonado,habrías abandonado,habría abandonado,habríamos abandonado,habríais abandonado,habrían abandonado,abandonando,abandoning,abandonado,abandoned
"to abandon, leave behind, desert; to quit, give up",Subjunctive,Present,"I abandon, am abandoning",abandon,abandon,abandons,abandon,abandon,abandon,abandonar,Subjuntivo,Presente,abandone,abandones,abandone,abandonemos,abandonéis,abandonen,abandonando,abandoning,abandonado,abandoned
"to abandon, leave behind, desert; to quit, give up",Subjunctive,Imperfect,"I abandoned, was abandoning",was abandoning,were abandoning,was abandoning,were abandoning,were abandoning,were abandoning,abandonar,Subjuntivo,Imperfecto,abandonara,abandonaras,abandonara,abandonáramos,abandonarais,abandonaran,abandonando,abandoning,abandonado,abandoned
"to abandon, leave behind, desert; to quit, give up",Subjunctive,Future,I will abandon,will abandon,will abandon,will abandon,will abandon,will abandon,will abandon,abandonar,Subjuntivo,Futuro,abandonare,abandonares,abandonare,abandonáremos,abandonareis,abandonaren,abandonando,abandoning,abandonado,abandoned
"to abandon, leave behind, desert; to quit, give up",Subjunctive,Present Perfect,"I have abandoned, abandoned",have abandoned,have abandoned,has abandoned,have abandoned,have abandoned,have abandoned,abandonar,Subjuntivo,Presente perfecto,haya abandonado,hayas abandonado,haya abandonado,hayamos abandonado,hayáis abandonado,hayan abandonado,abandonando,abandoning,abandonado,abandoned
"to abandon, leave behind, desert; to quit, give up",Subjunctive,Future Perfect,I will have abandoned,will have abandoned,will have abandoned,will have abandoned,will have abandoned,will have abandoned,will have abandoned,abandonar,Subjuntivo,Futuro perfecto,hubiere abandonado,hubieres abandonado,hubiere abandonado,hubiéremos abandonado,hubiereis abandonado,hubieren abandonado,abandonando,abandoning,abandonado,abandoned
"to abandon, leave behind, desert; to quit, give up",Subjunctive,Past Perfect,I had abandoned,had abandoned,had abandoned,had abandoned,had abandoned,had abandoned,had abandoned,abandonar,Subjuntivo,Pluscuamperfecto,hubiera abandonado,hubieras abandonado,hubiera abandonado,hubiéramos abandonado,hubierais abandonado,hubieran abandonado,abandonando,abandoning,abandonado,abandoned
"to abandon, leave behind, desert; to quit, give up",Imperative Affirmative,Present,Abandon! Don't abandon!,abandon,abandon,abandons,abandon,abandon,abandon,abandonar,Imperativo Afirmativo,Presente,,abandona,abandonad,,abandone,abandonen,abandonando,abandoning,abandonado,abandoned
"to abandon, leave behind, desert; to quit, give up",Imperative Negative,Present,Abandon! Don't abandon!,abandon,abandon,abandons,abandon,abandon,abandon,abandonar,Imperativo Negativo,Presente,,no abandones,no abandonéis,,no abandone,no abandonen,abandonando,abandoning,abandonado,abandoned
"to board, get on [plane, bus, etc.]; to approach, accost [a person]",Indicative,Present,"I board, am boarding",board,board,boards,board,board,board,abordar,Indicativo,Presente,abordo,abordas,aborda,abordamos,abordáis,abordan,abordando,boarding,abordado,boarded
"to board, get on [plane, bus, etc.]; to approach, accost [a person]",Indicative,Future,I will board,will board,will board,will board,will board,will board,will board,abordar,Indicativo,Futuro,abordaré,abordarás,abordará,abordaremos,abordaréis,abordarán,abordando,boarding,abordado,boarded
"to board, get on [plane, bus, etc.]; to approach, accost [a person]",Indicative,Imperfect,"I was boarding, used to board, boarded",was boarding,were boarding,was boarding,were boarding,were boarding,were boarding,abordar,Indicativo,Imperfecto,abordaba,abordabas,abordaba,abordábamos,abordabais,abordaban,abordando,boarding,abordado,boarded
"to board, get on [plane, bus, etc.]; to approach, accost [a person]",Indicative,Preterite,I boarded,boarded,boarded,boarded,boarded,boarded,boarded,abordar,Indicativo,Pretérito,abordé,abordaste,abordó,abordamos,abordasteis,abordaron,abordando,boarding,abordado,boarded
"to board, get on [plane, bus, etc.]; to approach, accost [a person]",Indicative,Conditional,I would board,would board,would board,would board,would board,would board,would board,abordar,Indicativo,Condicional,abordaría,abordarías,abordaría,abordaríamos,abordaríais,abordarían,abordando,boarding,abordado,boarded
"to board, get on [plane, bus, etc.]; to approach, accost [a person]",Indicative,Present Perfect,I have boarded,have boarded,have boarded,has boarded,have boarded,have boarded,have boarded,abordar,Indicativo,Presente perfecto,he abordado,has abordado,ha abordado,hemos abordado,habéis abordado,han abordado,abordando,boarding,abordado,boarded
"to board, get on [plane, bus, etc.]; to approach, accost [a person]",Indicative,Future Perfect,I will have boarded,will have boarded,will have boarded,will have boarded,will have boarded,will have boarded,will have boarded,abordar,Indicativo,Futuro perfecto,habré abordado,habrás abordado,habrá abordado,habremos abordado,habréis abordado,habrán abordado,abordando,boarding,abordado,boarded
"to board, get on [plane, bus, etc.]; to approach, accost [a person]",Indicative,Past Perfect,I had boarded,had boarded,had boarded,had boarded,had boarded,had boarded,had boarded,abordar,Indicativo,Pluscuamperfecto,había abordado,habías abordado,había abordado,habíamos abordado,habíais abordado,habían abordado,abordando,boarding,abordado,boarded
"to board, get on [plane, bus, etc.]; to approach, accost [a person]",Indicative,Preterite (Archaic),I had boarded,,,,,,,abordar,Indicativo,Pretérito anterior,hube abordado,hubiste abordado,hubo abordado,hubimos abordado,hubisteis abordado,hubieron abordado,abordando,boarding,abordado,boarded
"to board, get on [plane, bus, etc.]; to approach, accost [a person]",Indicative,Conditional Perfect,I would have boarded,would have boarded,would have boarded,would have boarded,would have boarded,would have boarded,would have boarded,abordar,Indicativo,Condicional perfecto,habría abordado,habrías abordado,habría abordado,habríamos abordado,habríais abordado,habrían abordado,abordando,boarding,abordado,boarded
"to board, get on [plane, bus, etc.]; to approach, accost [a person]",Subjunctive,Present,"I board, am boarding",board,board,boards,board,board,board,abordar,Subjuntivo,Presente,aborde,abordes,aborde,abordemos,abordéis,aborden,abordando,boarding,abordado,boarded
"to board, get on [plane, bus, etc.]; to approach, accost [a person]",Subjunctive,Imperfect,"I boarded, was boarding",was boarding,were boarding,was boarding,were boarding,were boarding,were boarding,abordar,Subjuntivo,Imperfecto,abordara,abordaras,abordara,abordáramos,abordarais,abordaran,abordando,boarding,abordado,boarded
"to board, get on [plane, bus, etc.]; to approach, accost [a person]",Subjunctive,Future,I will board,will board,will board,will board,will board,will board,will board,abordar,Subjuntivo,Futuro,abordare,abordares,abordare,abordáremos,abordareis,abordaren,abordando,boarding,abordado,boarded
"to board, get on [plane, bus, etc.]; to approach, accost [a person]",Subjunctive,Present Perfect,"I have boarded, boarded",have boarded,have boarded,has boarded,have boarded,have boarded,have boarded,abordar,Subjuntivo,Presente perfecto,haya abordado,hayas abordado,haya abordado,hayamos abordado,hayáis abordado,hayan abordado,abordando,boarding,abordado,boarded
"to board, get on [plane, bus, etc.]; to approach, accost [a person]",Subjunctive,Future Perfect,I will have boarded,will have boarded,will have boarded,will have boarded,will have boarded,will have boarded,will have boarded,abordar,Subjuntivo,Futuro perfecto,hubiere abordado,hubieres abordado,hubiere abordado,hubiéremos abordado,hubiereis abordado,hubieren abordado,abordando,boarding,abordado,boarded
"to board, get on [plane, bus, etc.]; to approach, accost [a person]",Subjunctive,Past Perfect,I had boarded,had boarded,had boarded,had boarded,had boarded,had boarded,had boarded,abordar,Subjuntivo,Pluscuamperfecto,hubiera abordado,hubieras abordado,hubiera abordado,hubiéramos abordado,hubierais abordado,hubieran abordado,abordando,boarding,abordado,boarded
"to board, get on [plane, bus, etc.]; to approach, accost [a person]",Imperative Affirmative,Present,Board! Don't board!,board,board,boards,board,board,board,abordar,Imperativo Afirmativo,Presente,,aborda,abordad,,aborde,aborden,abordando,boarding,abordado,boarded
"to board, get on [plane, bus, etc.]; to approach, accost [a person]",Imperative Negative,Present,Board! Don't board!,board,board,boards,board,board,board,abordar,Imperativo Negativo,Presente,,no abordes,no abordéis,,no aborde,no aborden,abordando,boarding,abordado,boarded
"to abort, cause to miscarry; to have a miscarriage",Indicative,Present,"I abort, am aborting",abort,abort,aborts,abort,abort,abort,abortar,Indicativo,Presente,aborto,abortas,aborta,abortamos,abortáis,abortan,abortando,aborting,abortado,aborted
"to abort, cause to miscarry; to have a miscarriage",Indicative,Future,I will abort,will abort,will abort,will abort,will abort,will abort,will abort,abortar,Indicativo,Futuro,abortaré,abortarás,abortará,abortaremos,abortaréis,abortarán,abortando,aborting,abortado,aborted
"to abort, cause to miscarry; to have a miscarriage",Indicative,Imperfect,"I was aborting, used to abort, aborted",was aborting,were aborting,was aborting,were aborting,were aborting,were aborting,abortar,Indicativo,Imperfecto,abortaba,abortabas,abortaba,abortábamos,abortabais,abortaban,abortando,aborting,abortado,aborted
"to abort, cause to miscarry; to have a miscarriage",Indicative,Preterite,I aborted,aborted,aborted,aborted,aborted,aborted,aborted,abortar,Indicativo,Pretérito,aborté,abortaste,abortó,abortamos,abortasteis,abortaron,abortando,aborting,abortado,aborted
"to abort, cause to miscarry; to have a miscarriage",Indicative,Conditional,I would abort,would abort,would abort,would abort,would abort,would abort,would abort,abortar,Indicativo,Condicional,abortaría,abortarías,abortaría,abortaríamos,abortaríais,abortarían,abortando,aborting,abortado,aborted
"to abort, cause to miscarry; to have a miscarriage",Indicative,Present Perfect,I have aborted,have aborted,have aborted,has aborted,have aborted,have aborted,have aborted,abortar,Indicativo,Presente perfecto,he abortado,has abortado,ha abortado,hemos abortado,habéis abortado,han abortado,abortando,aborting,abortado,aborted
"to abort, cause to miscarry; to have a miscarriage",Indicative,Future Perfect,I will have aborted,will have aborted,will have aborted,will have aborted,will have aborted,will have aborted,will have aborted,abortar,Indicativo,Futuro perfecto,habré abortado,habrás abortado,habrá abortado,habremos abortado,habréis abortado,habrán abortado,abortando,aborting,abortado,aborted
"to abort, cause to miscarry; to have a miscarriage",Indicative,Past Perfect,I had aborted,had aborted,had aborted,had aborted,had aborted,had aborted,had aborted,abortar,Indicativo,Pluscuamperfecto,había abortado,habías abortado,había abortado,habíamos abortado,habíais abortado,habían abortado,abortando,aborting,abortado,aborted
"to abort, cause to miscarry; to have a miscarriage",Indicative,Preterite (Archaic),I had aborted,,,,,,,abortar,Indicativo,Pretérito anterior,hube abortado,hubiste abortado,hubo abortado,hubimos abortado,hubisteis abortado,hubieron abortado,abortando,aborting,abortado,aborted
"to abort, cause to miscarry; to have a miscarriage",Indicative,Conditional Perfect,I would have aborted,would have aborted,would have aborted,would have aborted,would have aborted,would have aborted,would have aborted,abortar,Indicativo,Condicional perfecto,habría abortado,habrías abortado,habría abortado,habríamos abortado,habríais abortado,habrían abortado,abortando,aborting,abortado,aborted
"to abort, cause to miscarry; to have a miscarriage",Subjunctive,Present,"I abort, am aborting",abort,abort,aborts,abort,abort,abort,abortar,Subjuntivo,Presente,aborte,abortes,aborte,abortemos,abortéis,aborten,abortando,aborting,abortado,aborted
"to abort, cause to miscarry; to have a miscarriage",Subjunctive,Imperfect,"I aborted, was aborting",was aborting,were aborting,was aborting,were aborting,were aborting,were aborting,abortar,Subjuntivo,Imperfecto,abortara,abortaras,abortara,abortáramos,abortarais,abortaran,abortando,aborting,abortado,aborted
"to abort, cause to miscarry; to have a miscarriage",Subjunctive,Future,I will abort,will abort,will abort,will abort,will abort,will abort,will abort,abortar,Subjuntivo,Futuro,abortare,abortares,abortare,abortáremos,abortareis,abortaren,abortando,aborting,abortado,aborted
"to abort, cause to miscarry; to have a miscarriage",Subjunctive,Present Perfect,"I have aborted, aborted",have aborted,have aborted,has aborted,have aborted,have aborted,have aborted,abortar,Subjuntivo,Presente perfecto,haya abortado,hayas abortado,haya abortado,hayamos abortado,hayáis abortado,hayan abortado,abortando,aborting,abortado,aborted
"to abort, cause to miscarry; to have a miscarriage",Subjunctive,Future Perfect,I will have aborted,will have aborted,will have aborted,will have aborted,will have aborted,will have aborted,will have aborted,abortar,Subjuntivo,Futuro perfecto,hubiere abortado,hubieres abortado,hubiere abortado,hubiéremos abortado,hubiereis abortado,hubieren abortado,abortando,aborting,abortado,aborted
"to abort, cause to miscarry; to have a miscarriage",Subjunctive,Past Perfect,I had aborted,had aborted,had aborted,had aborted,had aborted,had aborted,had aborted,abortar,Subjuntivo,Pluscuamperfecto,hubiera abortado,hubieras abortado,hubiera abortado,hubiéramos abortado,hubierais abortado,hubieran abortado,abortando,aborting,abortado,aborted
"to abort, cause to miscarry; to have a miscarriage",Imperative Affirmative,Present,Abort! Don't abort!,abort,abort,aborts,abort,abort,abort,abortar,Imperativo Afirmativo,Presente,,aborta,abortad,,aborte,aborten,abortando,aborting,abortado,aborted
"to abort, cause to miscarry; to have a miscarriage",Imperative Negative,Present,Abort! Don't abort!,abort,abort,aborts,abort,abort,abort,abortar,Imperativo Negativo,Presente,,no abortes,no abortéis,,no aborte,no aborten,abortando,aborting,abortado,aborted
"to hug, embrace",Indicative,Present,"I hug, am hugging",hug,hug,hugs,hug,hug,hug,abrazar,Indicativo,Presente,abrazo,abrazas,abraza,abrazamos,abrazáis,abrazan,abrazando,hugging,abrazado,hugged
"to hug, embrace",Indicative,Future,I will hug,will hug,will hug,will hug,will hug,will hug,will hug,abrazar,Indicativo,Futuro,abrazaré,abrazarás,abrazará,abrazaremos,abrazaréis,abrazarán,abrazando,hugging,abrazado,hugged
"to hug, embrace",Indicative,Imperfect,"I was hugging, used to hug, hugged",was hugging,were hugging,was hugging,were hugging,were hugging,were hugging,abrazar,Indicativo,Imperfecto,abrazaba,abrazabas,abrazaba,abrazábamos,abrazabais,abrazaban,abrazando,hugging,abrazado,hugged
"to hug, embrace",Indicative,Preterite,I hugged,hugged,hugged,hugged,hugged,hugged,hugged,abrazar,Indicativo,Pretérito,abracé,abrazaste,abrazó,abrazamos,abrazasteis,abrazaron,abrazando,hugging,abrazado,hugged
"to hug, embrace",Indicative,Conditional,I would hug,would hug,would hug,would hug,would hug,would hug,would hug,abrazar,Indicativo,Condicional,abrazaría,abrazarías,abrazaría,abrazaríamos,abrazaríais,abrazarían,abrazando,hugging,abrazado,hugged
"to hug, embrace",Indicative,Present Perfect,I have hugged,have hugged,have hugged,has hugged,have hugged,have hugged,have hugged,abrazar,Indicativo,Presente perfecto,he abrazado,has abrazado,ha abrazado,hemos abrazado,habéis abrazado,han abrazado,abrazando,hugging,abrazado,hugged
"to hug, embrace",Indicative,Future Perfect,I will have hugged,will have hugged,will have hugged,will have hugged,will have hugged,will have hugged,will have hugged,abrazar,Indicativo,Futuro perfecto,habré abrazado,habrás abrazado,habrá abrazado,habremos abrazado,habréis abrazado,habrán abrazado,abrazando,hugging,abrazado,hugged
"to hug, embrace",Indicative,Past Perfect,I had hugged,had hugged,had hugged,had hugged,had hugged,had hugged,had hugged,abrazar,Indicativo,Pluscuamperfecto,había abrazado,habías abrazado,había abrazado,habíamos abrazado,habíais abrazado,habían abrazado,abrazando,hugging,abrazado,hugged
"to hug, embrace",Indicative,Preterite (Archaic),I had hugged,,,,,,,abrazar,Indicativo,Pretérito anterior,hube abrazado,hubiste abrazado,hubo abrazado,hubimos abrazado,hubisteis abrazado,hubieron abrazado,abrazando,hugging,abrazado,hugged
"to hug, embrace",Indicative,Conditional Perfect,I would have hugged,would have hugged,would have hugged,would have hugged,would have hugged,would have hugged,would have hugged,abrazar,Indicativo,Condicional perfecto,habría abrazado,habrías abrazado,habría abrazado,habríamos abrazado,habríais abrazado,habrían abrazado,abrazando,hugging,abrazado,hugged
"to hug, embrace",Subjunctive,Present,"I hug, am hugging",hug,hug,hugs,hug,hug,hug,abrazar,Subjuntivo,Presente,abrace,abraces,abrace,abracemos,abracéis,abracen,abrazando,hugging,abrazado,hugged
"to hug, embrace",Subjunctive,Imperfect,"I hugged, was hugging",was hugging,were hugging,was hugging,were hugging,were hugging,were hugging,abrazar,Subjuntivo,Imperfecto,abrazara,abrazaras,abrazara,abrazáramos,abrazarais,abrazaran,abrazando,hugging,abrazado,hugged
"to hug, embrace",Subjunctive,Future,I will hug,will hug,will hug,will hug,will hug,will hug,will hug,abrazar,Subjuntivo,Futuro,abrazare,abrazares,abrazare,abrazáremos,abrazareis,abrazaren,abrazando,hugging,abrazado,hugged
"to hug, embrace",Subjunctive,Present Perfect,"I have hugged, hugged",have hugged,have hugged,has hugged,have hugged,have hugged,have hugged,abrazar,Subjuntivo,Presente perfecto,haya abrazado,hayas abrazado,haya abrazado,hayamos abrazado,hayáis abrazado,hayan abrazado,abrazando,hugging,abrazado,hugged
"to hug, embrace",Subjunctive,Future Perfect,I will have hugged,will have hugged,will have hugged,will have hugged,will have hugged,will have hugged,will have hugged,abrazar,Subjuntivo,Futuro perfecto,hubiere abrazado,hubieres abrazado,hubiere abrazado,hubiéremos abrazado,hubiereis abrazado,hubieren abrazado,abrazando,hugging,abrazado,hugged
"to hug, embrace",Subjunctive,Past Perfect,I had hugged,had hugged,had hugged,had hugged,had hugged,had hugged,had hugged,abrazar,Subjuntivo,Pluscuamperfecto,hubiera abrazado,hubieras abrazado,hubiera abrazado,hubiéramos abrazado,hubierais abrazado,hubieran abrazado,abrazando,hugging,abrazado,hugged
"to hug, embrace",Imperative Affirmative,Present,Hug! Don't hug!,hug,hug,hugs,hug,hug,hug,abrazar,Imperativo Afirmativo,Presente,,abraza,abrazad,,abrace,abracen,abrazando,hugging,abrazado,hugged
"to hug, embrace",Imperative Negative,Present,Hug! Don't hug!,hug,hug,hugs,hug,hug,hug,abrazar,Imperativo Negativo,Presente,,no abraces,no abracéis,,no abrace,no abracen,abrazando,hugging,abrazado,hugged
to open,Indicative,Present,"I open, am opening",open,open,opens,open,open,open,abrir,Indicativo,Presente,abro,abres,abre,abrimos,abrís,abren,abriendo,opening,abierto,opened
to open,Indicative,Future,I will open,will open,will open,will open,will open,will open,will open,abrir,Indicativo,Futuro,abriré,abrirás,abrirá,abriremos,abriréis,abrirán,abriendo,opening,abierto,opened
to open,Indicative,Imperfect,"I was opening, used to open, opened",was opening,were opening,was opening,were opening,were opening,were opening,abrir,Indicativo,Imperfecto,abría,abrías,abría,abríamos,abríais,abrían,abriendo,opening,abierto,opened
to open,Indicative,Preterite,I opened,opened,opened,opened,opened,opened,opened,abrir,Indicativo,Pretérito,abrí,abriste,abrió,abrimos,abristeis,abrieron,abriendo,opening,abierto,opened
to open,Indicative,Conditional,I would open,would open,would open,would open,would open,would open,would open,abrir,Indicativo,Condicional,abriría,abrirías,abriría,abriríamos,abriríais,abrirían,abriendo,opening,abierto,opened
to open,Indicative,Present Perfect,I have opened,have opened,have opened,has opened,have opened,have opened,have opened,abrir,Indicativo,Presente perfecto,he abierto,has abierto,ha abierto,hemos abierto,habéis abierto,han abierto,abriendo,opening,abierto,opened
to open,Indicative,Future Perfect,I will have opened,will have opened,will have opened,will have opened,will have opened,will have opened,will have opened,abrir,Indicativo,Futuro perfecto,habré abierto,habrás abierto,habrá abierto,habremos abierto,habréis abierto,habrán abierto,abriendo,opening,abierto,opened
to open,Indicative,Past Perfect,I had opened,had opened,had opened,had opened,had opened,had opened,had opened,abrir,Indicativo,Pluscuamperfecto,había abierto,habías abierto,había abierto,habíamos abierto,habíais abierto,habían abierto,abriendo,opening,abierto,opened
to open,Indicative,Preterite (Archaic),I had opened,,,,,,,abrir,Indicativo,Pretérito anterior,hube abierto,hubiste abierto,hubo abierto,hubimos abierto,hubisteis abierto,hubieron abierto,abriendo,opening,abierto,opened
to open,Indicative,Conditional Perfect,I would have opened,would have opened,would have opened,would have opened,would have opened,would have opened,would have opened,abrir,Indicativo,Condicional perfecto,habría abierto,habrías abierto,habría abierto,habríamos abierto,habríais abierto,habrían abierto,abriendo,opening,abierto,opened
to open,Subjunctive,Present,"I open, am opening",open,open,opens,open,open,open,abrir,Subjuntivo,Presente,abra,abras,abra,abramos,abráis,abran,abriendo,opening,abierto,opened
to open,Subjunctive,Imperfect,"I opened, was opening",was opening,were opening,was opening,were opening,were opening,were opening,abrir,Subjuntivo,Imperfecto,abriera,abrieras,abriera,abriéramos,abrierais,abrieran,abriendo,opening,abierto,opened
to open,Subjunctive,Future,I will open,will open,will open,will open,will open,will open,will open,abrir,Subjuntivo,Futuro,abriere,abrieres,abriere,abriéremos,abriereis,abrieren,abriendo,opening,abierto,opened
to open,Subjunctive,Present Perfect,"I have opened, opened",have opened,have opened,has opened,have opened,have opened,have opened,abrir,Subjuntivo,Presente perfecto,haya abierto,hayas abierto,haya abierto,hayamos abierto,hayáis abierto,hayan abierto,abriendo,opening,abierto,opened
to open,Subjunctive,Future Perfect,I will have opened,will have opened,will have opened,will have opened,will have opened,will have opened,will have opened,abrir,Subjuntivo,Futuro perfecto,hubiere abierto,hubieres abierto,hubiere abierto,hubiéremos abierto,hubiereis abierto,hubieren abierto,abriendo,opening,abierto,opened
to open,Subjunctive,Past Perfect,I had opened,had opened,had opened,had opened,had opened,had opened,had opened,abrir,Subjuntivo,Pluscuamperfecto,hubiera abierto,hubieras abierto,hubiera abierto,hubiéramos abierto,hubierais abierto,hubieran abierto,abriendo,opening,abierto,opened
to open,Imperative Affirmative,Present,Open! Don't open!,open,open,opens,open,open,open,abrir,Imperativo Afirmativo,Presente,,abre,abrid,,abra,abran,abriendo,opening,abierto,opened
to open,Imperative Negative,Present,Open! Don't open!,open,open,opens,open,open,open,abrir,Imperativo Negativo,Presente,,no abras,no abráis,,no abra,no abran,abriendo,opening,abierto,opened
"to bore; to tire, weary",Indicative,Present,"I bore, am boring",bore,bore,bores,bore,bore,bore,aburrir,Indicativo,Presente,aburro,aburres,aburre,aburrimos,aburrís,aburren,aburriendo,boring,aburrido,bored
"to bore; to tire, weary",Indicative,Future,I will bore,will bore,will bore,will bore,will bore,will bore,will bore,aburrir,Indicativo,Futuro,aburriré,aburrirás,aburrirá,aburriremos,aburriréis,aburrirán,aburriendo,boring,aburrido,bored
"to bore; to tire, weary",Indicative,Imperfect,"I was boring, used to bore, bored",was boring,were boring,was boring,were boring,were boring,were boring,aburrir,Indicativo,Imperfecto,aburría,aburrías,aburría,aburríamos,aburríais,aburrían,aburriendo,boring,aburrido,bored
"to bore; to tire, weary",Indicative,Preterite,I bored,bored,bored,bored,bored,bored,bored,aburrir,Indicativo,Pretérito,aburrí,aburriste,aburrió,aburrimos,aburristeis,aburrieron,aburriendo,boring,aburrido,bored
"to bore; to tire, weary",Indicative,Conditional,I would bore,would bore,would bore,would bore,would bore,would bore,would bore,aburrir,Indicativo,Condicional,aburriría,aburrirías,aburriría,aburriríamos,aburriríais,aburrirían,aburriendo,boring,aburrido,bored
"to bore; to tire, weary",Indicative,Present Perfect,I have bored,have bored,have bored,has bored,have bored,have bored,have bored,aburrir,Indicativo,Presente perfecto,he aburrido,has aburrido,ha aburrido,hemos aburrido,habéis aburrido,han aburrido,aburriendo,boring,aburrido,bored
"to bore; to tire, weary",Indicative,Future Perfect,I will have bored,will have bored,will have bored,will have bored,will have bored,will have bored,will have bored,aburrir,Indicativo,Futuro perfecto,habré aburrido,habrás aburrido,habrá aburrido,habremos aburrido,habréis aburrido,habrán aburrido,aburriendo,boring,aburrido,bored
"to bore; to tire, weary",Indicative,Past Perfect,I had bored,had bored,had bored,had bored,had bored,had bored,had bored,aburrir,Indicativo,Pluscuamperfecto,había aburrido,habías aburrido,había aburrido,habíamos aburrido,habíais aburrido,habían aburrido,aburriendo,boring,aburrido,bored
"to bore; to tire, weary",Indicative,Preterite (Archaic),I had bored,,,,,,,aburrir,Indicativo,Pretérito anterior,hube aburrido,hubiste aburrido,hubo aburrido,hubimos aburrido,hubisteis aburrido,hubieron aburrido,aburriendo,boring,aburrido,bored
"to bore; to tire, weary",Indicative,Conditional Perfect,I would have bored,would have bored,would have bored,would have bored,would have bored,would have bored,would have bored,aburrir,Indicativo,Condicional perfecto,habría aburrido,habrías aburrido,habría aburrido,habríamos aburrido,habríais aburrido,habrían aburrido,aburriendo,boring,aburrido,bored
"to bore; to tire, weary",Subjunctive,Present,"I bore, am boring",bore,bore,bores,bore,bore,bore,aburrir,Subjuntivo,Presente,aburra,aburras,aburra,aburramos,aburráis,aburran,aburriendo,boring,aburrido,bored
"to bore; to tire, weary",Subjunctive,Imperfect,"I bored, was boring",was boring,were boring,was boring,were boring,were boring,were boring,aburrir,Subjuntivo,Imperfecto,aburriera,aburrieras,aburriera,aburriéramos,aburrierais,aburrieran,aburriendo,boring,aburrido,bored
"to bore; to tire, weary",Subjunctive,Future,I will bore,will bore,will bore,will bore,will bore,will bore,will bore,aburrir,Subjuntivo,Futuro,aburriere,aburrieres,aburriere,aburriéremos,aburriereis,aburrieren,aburriendo,boring,aburrido,bored
"to bore; to tire, weary",Subjunctive,Present Perfect,"I have bored, bored",have bored,have bored,has bored,have bored,have bored,have bored,aburrir,Subjuntivo,Presente perfecto,haya aburrido,hayas aburrido,haya aburrido,hayamos aburrido,hayáis aburrido,hayan aburrido,aburriendo,boring,aburrido,bored
